Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, train acc: 0.433937, train avg acc: 0.257482
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 38, loss: 1.573810, acc: 0.903298, avg acc: 0.848119, prec(macro): 0.865752, prec(weighted): 0.899613, recall(macro): 0.848119, recall(weighted): 0.903298, f1(macro): 0.854580, f1(weighted): 0.899988
Train 38, loss: 6.264633, acc: 0.903298, avg acc: 0.848119, prec(macro): 0.865752, prec(weighted): 0.899613, recall(macro): 0.848119, recall(weighted): 0.903298, f1(macro): 0.854580, f1(weighted): 0.899988
Train 39, loss: 1.569323, acc: 0.907573, avg acc: 0.856500, prec(macro): 0.872180, prec(weighted): 0.904170, recall(macro): 0.856500, recall(weighted): 0.907573, f1(macro): 0.862355, f1(weighted): 0.904565
Train 39, loss: 6.246771, acc: 0.907573, avg acc: 0.856500, prec(macro): 0.872180, prec(weighted): 0.904170, recall(macro): 0.856500, recall(weighted): 0.907573, f1(macro): 0.862355, f1(weighted): 0.904565
Train 40, loss: 1.574336, acc: 0.905130, avg acc: 0.853975, prec(macro): 0.870048, prec(weighted): 0.902546, recall(macro): 0.853975, recall(weighted): 0.905130, f1(macro): 0.860146, f1(weighted): 0.902621
Train 40, loss: 6.266724, acc: 0.905130, avg acc: 0.853975, prec(macro): 0.870048, prec(weighted): 0.902546, recall(macro): 0.853975, recall(weighted): 0.905130, f1(macro): 0.860146, f1(weighted): 0.902621
Train 41, loss: 1.570440, acc: 0.903705, avg acc: 0.855382, prec(macro): 0.868738, prec(weighted): 0.900472, recall(macro): 0.855382, recall(weighted): 0.903705, f1(macro): 0.860130, f1(weighted): 0.900887
Train 41, loss: 6.251216, acc: 0.903705, avg acc: 0.855382, prec(macro): 0.868738, prec(weighted): 0.900472, recall(macro): 0.855382, recall(weighted): 0.903705, f1(macro): 0.860130, f1(weighted): 0.900887
Train 42, loss: 1.561516, acc: 0.911950, avg acc: 0.862391, prec(macro): 0.875218, prec(weighted): 0.909040, recall(macro): 0.862391, recall(weighted): 0.911950, f1(macro): 0.866297, f1(weighted): 0.908920
Train 42, loss: 6.215693, acc: 0.911950, avg acc: 0.862391, prec(macro): 0.875218, prec(weighted): 0.909040, recall(macro): 0.862391, recall(weighted): 0.911950, f1(macro): 0.866297, f1(weighted): 0.908920
Train 43, loss: 1.569528, acc: 0.904316, avg acc: 0.852148, prec(macro): 0.867788, prec(weighted): 0.901165, recall(macro): 0.852148, recall(weighted): 0.904316, f1(macro): 0.857880, f1(weighted): 0.901374
Train 43, loss: 6.247585, acc: 0.904316, avg acc: 0.852148, prec(macro): 0.867788, prec(weighted): 0.901165, recall(macro): 0.852148, recall(weighted): 0.904316, f1(macro): 0.857880, f1(weighted): 0.901374
Train 44, loss: 1.562284, acc: 0.906657, avg acc: 0.856143, prec(macro): 0.873227, prec(weighted): 0.903917, recall(macro): 0.856143, recall(weighted): 0.906657, f1(macro): 0.862418, f1(weighted): 0.903732
Train 44, loss: 6.218752, acc: 0.906657, avg acc: 0.856143, prec(macro): 0.873227, prec(weighted): 0.903917, recall(macro): 0.856143, recall(weighted): 0.906657, f1(macro): 0.862418, f1(weighted): 0.903732
